[soak] launching 3-node cluster (-XX:+UseZGC -Xmx2g -Xms2g) under /mnt/nvme/run/soak; out=/mnt/nvme/run/soak; signing-key=/mnt/nvme/Configd/deploy/compose/secrets/signing-key.bin
[soak] t+1841s rss=2483168kb fd=350 thr=177 gc_cycles=231 gc_cumsec=14.702 commit_p50=2705us p99=4507us committed=9000 rejected=0
[soak] t+1872s rss=2483168kb fd=350 thr=177 gc_cycles=235 gc_cumsec=15.008 commit_p50=2643us p99=4571us committed=9000 rejected=0
[soak] t+1904s rss=2483168kb fd=350 thr=177 gc_cycles=239 gc_cumsec=15.326 commit_p50=2639us p99=4155us committed=9000 rejected=0
[soak] t+1935s rss=2483696kb fd=350 thr=177 gc_cycles=243 gc_cumsec=15.649 commit_p50=2599us p99=4551us committed=9000 rejected=0
[soak] t+1966s rss=2483696kb fd=350 thr=177 gc_cycles=248 gc_cumsec=16.037 commit_p50=2599us p99=4017us committed=9000 rejected=0
[soak] t+1998s rss=2483956kb fd=350 thr=177 gc_cycles=251 gc_cumsec=16.264 commit_p50=2587us p99=3953us committed=9000 rejected=0
[soak] t+2029s rss=2483956kb fd=350 thr=177 gc_cycles=256 gc_cumsec=16.678 commit_p50=2633us p99=4683us committed=9000 rejected=0
[soak] t+2060s rss=2483956kb fd=350 thr=177 gc_cycles=259 gc_cumsec=16.928 commit_p50=2683us p99=4095us committed=9000 rejected=0
[soak] t+2092s rss=2483956kb fd=350 thr=177 gc_cycles=264 gc_cumsec=17.326 commit_p50=2627us p99=3903us committed=9000 rejected=0
[soak] t+2123s rss=2484216kb fd=350 thr=177 gc_cycles=268 gc_cumsec=17.650 commit_p50=2705us p99=3787us committed=9000 rejected=0
[soak] t+2154s rss=2484216kb fd=350 thr=177 gc_cycles=272 gc_cumsec=17.970 commit_p50=2655us p99=3977us committed=9000 rejected=0
[soak] t+2186s rss=2484216kb fd=350 thr=177 gc_cycles=275 gc_cumsec=18.200 commit_p50=2649us p99=3795us committed=9000 rejected=0
[soak] t+2217s rss=2484216kb fd=350 thr=177 gc_cycles=279 gc_cumsec=18.517 commit_p50=2623us p99=4323us committed=9000 rejected=0
[soak] t+2248s rss=2484428kb fd=350 thr=177 gc_cycles=283 gc_cumsec=18.832 commit_p50=2671us p99=6403us committed=9000 rejected=0
[soak] t+2280s rss=2484428kb fd=350 thr=177 gc_cycles=288 gc_cumsec=19.226 commit_p50=2615us p99=4015us committed=9000 rejected=0
[soak] t+2311s rss=2484428kb fd=350 thr=177 gc_cycles=292 gc_cumsec=19.549 commit_p50=2599us p99=4111us committed=9000 rejected=0
[soak] t+2342s rss=2484428kb fd=350 thr=177 gc_cycles=295 gc_cumsec=19.812 commit_p50=2649us p99=4415us committed=9000 rejected=0
[soak] t+2374s rss=2484428kb fd=350 thr=177 gc_cycles=300 gc_cumsec=20.197 commit_p50=2629us p99=3877us committed=9000 rejected=0
[soak] t+2405s rss=2484428kb fd=350 thr=177 gc_cycles=304 gc_cumsec=20.505 commit_p50=2701us p99=4021us committed=9000 rejected=0
[soak] t+2437s rss=2484428kb fd=350 thr=177 gc_cycles=308 gc_cumsec=20.839 commit_p50=2689us p99=3759us committed=9000 rejected=0
[soak] t+2468s rss=2484428kb fd=350 thr=177 gc_cycles=312 gc_cumsec=21.150 commit_p50=2677us p99=3943us committed=9000 rejected=0
[soak] t+2499s rss=2484684kb fd=350 thr=177 gc_cycles=316 gc_cumsec=21.479 commit_p50=2671us p99=3741us committed=9000 rejected=0
